GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
06037433700,3951.0,39.0,80.4,3.7,0.0,623.0,52.4,73.9,398800.0,4.9,3.1,39.0,0.0,3.98,1166 (USD),$55469,27.8,77.0,11.6,30.3,93.2,7.8,24.5,41.5
06037433801,6690.0,29.0,91.8,1.5,0.0,444.0,48.1,48.8,391300.0,4.5,1.3,66.3,7.8,5.11,1174 (USD),$46627,30.3,83.0,29.9,23.8,98.5,6.4,19.4,40.6
06037433901,5718.0,29.7,77.9,1.3,1.2,1115.0,50.6,47.0,427200.0,4.0,5.5,80.4,2.7,4.06,1099 (USD),$32234,27.6,75.6,36.4,22.5,95.9,9.2,8.7,48.2
06037461400,3223.0,41.8,32.5,47.3,7.1,207.0,42.6,52.4,656900.0,4.2,57.7,64.7,8.9,2.16,1504 (USD),$59464,25.6,74.6,7.8,43.6,85.4,45.1,57.2,26.6
06037463400,5807.0,38.4,19.8,37.1,6.5,1830.0,50.3,41.4,677300.0,4.3,29.7,55.2,3.2,2.15,1566 (USD),$83869,28.7,79.6,9.0,44.6,89.0,67.5,55.7,35.6
06037480202,2669.0,42.7,25.8,27.4,0.9,1140.0,46.3,93.5,800300.0,5.6,44.0,16.8,13.4,3.39,2240 (USD),$101080,31.1,78.1,2.0,20.1,91.3,60.8,47.9,31.1
06037480400,5424.0,42.1,28.9,19.6,2.6,2474.0,46.9,48.5,674900.0,4.4,34.5,52.9,0.0,2.36,1383 (USD),$61042,31.6,82.3,10.6,44.6,91.6,52.5,40.5,45.9
06037572400,1240.0,37.7,36.5,7.7,14.4,330.0,48.9,92.7,419700.0,5.5,1.3,15.7,0.0,3.47,1614 (USD),$83611,25.9,72.8,22.3,33.2,88.3,12.0,51.0,32.5
06037572800,1024.0,27.3,19.2,18.0,40.4,57.0,58.2,7.1,,3.1,1.9,100.0,7.1,2.82,733 (USD),$18484,32.0,37.3,52.0,35.8,75.0,2.3,79.6,7.9
06037573201,4877.0,29.9,59.5,3.2,15.9,954.0,46.5,35.9,379500.0,3.8,27.2,73.4,3.2,3.19,975 (USD),$35125,26.8,75.0,26.9,26.7,93.2,13.3,27.4,35.7
06037552200,5633.0,29.2,82.5,5.5,6.1,284.0,54.4,29.9,353900.0,3.8,6.2,73.3,4.8,3.61,1315 (USD),$45779,28.7,83.9,19.3,34.0,94.3,10.6,29.5,34.5
06037553200,7670.0,37.3,63.5,16.9,5.0,1007.0,49.3,81.7,414800.0,5.8,3.9,22.5,8.4,3.74,1342 (USD),$76861,30.9,82.0,9.4,38.9,93.4,21.1,40.3,29.9
06037553502,4267.0,36.0,79.4,5.9,11.6,128.0,54.2,31.3,234900.0,4.0,5.1,60.3,3.5,3.55,1145 (USD),$50326,26.4,76.5,16.7,26.2,92.0,12.6,23.1,36.3
06037554403,5502.0,34.6,48.1,14.2,24.6,534.0,48.4,21.5,,3.9,1.1,75.9,3.7,3.1,1240 (USD),$39632,28.4,79.1,17.1,28.7,89.9,12.4,53.5,27.6
06037554404,4046.0,37.5,48.1,14.4,14.9,806.0,46.9,34.4,357000.0,4.2,8.5,74.3,7.2,2.75,1230 (USD),$45071,31.5,85.5,20.0,34.5,91.0,16.3,48.0,33.3
06037554521,6144.0,44.7,22.8,20.4,9.7,2628.0,46.3,63.1,593700.0,5.9,0.0,31.0,4.2,2.78,1764 (USD),$76042,31.7,81.0,5.4,45.6,89.7,42.8,46.4,38.1
06037481605,2933.0,42.3,38.7,6.8,0.0,1515.0,45.8,66.0,547000.0,4.0,26.3,69.5,0.0,2.79,1273 (USD),$51571,23.9,73.2,12.2,40.1,91.4,25.2,24.4,46.4
06037571704,4320.0,31.5,64.0,6.4,17.9,291.0,51.0,49.0,330900.0,4.0,23.7,61.0,0.0,3.91,1105 (USD),$43902,27.0,81.4,30.6,20.2,90.9,8.6,34.4,37.8
06037570403,5186.0,25.4,83.3,1.8,10.2,193.0,49.4,48.7,317100.0,4.4,7.0,63.6,3.9,4.35,1085 (USD),$39219,29.8,65.3,32.7,28.9,94.8,6.5,16.3,35.3
06037553503,2742.0,32.4,83.4,4.2,7.9,77.0,48.4,40.1,298300.0,4.1,6.5,58.5,8.9,3.44,1295 (USD),$50245,34.6,70.5,13.9,33.9,93.5,7.9,22.1,42.5
06037552302,3849.0,42.3,49.5,17.4,7.3,955.0,49.0,53.7,374900.0,4.6,0.9,47.4,0.0,2.63,1071 (USD),$59702,35.4,81.0,8.3,36.0,90.2,22.5,38.4,34.8
06037503104,2520.0,33.5,82.9,10.7,1.2,110.0,52.5,93.8,350800.0,5.2,7.0,39.9,0.0,4.39,1391 (USD),$57232,30.4,85.7,16.5,20.0,98.2,12.1,27.1,35.2
06037550602,4526.0,39.1,70.7,18.6,0.2,426.0,52.5,88.4,563900.0,5.9,2.1,12.3,0.0,4.11,2086 (USD),$88846,25.8,81.4,4.7,35.0,92.1,24.2,29.5,35.3
06037550601,5709.0,31.6,75.8,14.6,4.4,255.0,47.1,53.6,467500.0,4.8,1.9,53.8,8.1,3.46,1216 (USD),$68976,29.2,83.5,16.7,35.6,90.8,18.2,34.0,29.5
06037550202,6201.0,31.1,75.1,11.0,4.1,392.0,48.0,88.0,365100.0,5.4,3.2,17.2,0.0,4.88,1805 (USD),$67813,32.3,84.2,11.9,34.9,95.2,12.2,38.1,29.7
06037550201,2958.0,32.5,79.2,11.4,1.8,122.0,51.5,65.2,389200.0,5.0,2.0,43.7,0.0,4.15,1117 (USD),$65000,30.0,83.2,11.6,32.8,94.5,13.7,31.9,34.1
