GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
06059099413,8559.0,46.5,17.5,64.3,0.2,1414.0,49.6,34.5,719600.0,5.1,0.8,49.0,0.9,2.15,1499.0,74821.0,29.3,76.9,12.9,27.6,91.9,37.8,73.9,22.9
06059099415,5738.0,47.6,11.4,73.6,0.4,658.0,51.4,94.2,873200.0,7.1,1.2,14.3,7.9,3.05,2351.0,146250.0,26.3,82.5,1.9,31.8,94.4,54.7,84.0,13.8
06059099417,4526.0,44.0,11.2,68.8,1.7,583.0,50.1,38.7,679100.0,4.9,2.5,45.8,0.0,2.08,1806.0,106815.0,33.2,87.7,4.6,33.1,87.9,53.9,85.2,12.9
06059099508,4860.0,44.9,14.7,62.5,1.3,575.0,48.3,26.5,373700.0,4.8,2.2,48.8,3.7,2.79,1759.0,80689.0,33.1,72.0,15.0,22.7,82.3,29.4,78.8,18.3
06059099511,3226.0,44.6,15.3,79.2,0.0,93.0,53.0,36.4,1240100.0,4.3,10.4,65.5,3.1,1.82,1622.0,93785.0,32.7,85.3,7.0,48.2,83.1,58.2,89.9,4.8
06059062900,1562.0,59.7,3.2,94.4,0.0,33.0,51.8,90.9,2000001.0,7.1,4.6,15.2,11.6,2.06,2241.0,173000.0,28.1,78.2,5.9,35.4,93.5,68.9,93.5,3.3
06059099203,6416.0,42.4,30.9,15.6,0.0,3335.0,49.6,66.0,479800.0,5.3,1.0,39.7,3.7,4.51,1352.0,68384.0,25.8,77.0,14.7,35.0,95.2,16.1,29.1,54.8
06059099216,4394.0,42.3,15.4,67.9,2.8,486.0,51.0,74.5,616300.0,5.8,0.0,24.0,0.0,3.16,1810.0,89941.0,24.4,82.6,2.7,32.0,94.1,33.5,78.8,16.8
06059099225,3390.0,46.8,3.2,49.1,0.4,1394.0,48.8,99.3,687500.0,6.7,0.0,7.8,0.0,5.1,,117578.0,27.0,74.4,8.1,41.5,98.3,45.1,55.6,30.2
06059074702,6163.0,33.2,92.6,3.7,0.2,163.0,50.7,73.6,424300.0,4.8,2.9,44.5,0.0,5.97,1217.0,59452.0,25.8,73.9,18.7,20.4,97.0,6.8,6.6,53.9
06059075405,3180.0,41.2,52.2,39.1,0.9,164.0,48.6,49.5,487900.0,5.5,0.0,40.9,0.0,3.21,1679.0,67652.0,25.0,80.2,7.9,25.8,83.8,28.8,51.8,26.6
06059075604,8024.0,50.3,13.2,69.3,0.0,1124.0,50.0,93.1,925900.0,7.6,0.6,6.5,21.2,2.25,1518.0,156071.0,25.0,86.0,2.7,35.5,85.6,68.4,83.1,16.6
