GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born,state,county,county_name
06025012100,6481.0,30.6,98.8,1.1,0.0,0.0,45.8,51.7,118500.0,4.7,3.1,67.6,2.0,3.76,837.0,22135.0,20.0,77.0,31.2,38.4,85.3,19.6,6.7,35.7,06,025,Imperial
06025011300,12071.0,29.9,91.8,6.2,0.1,208.0,51.3,62.8,166900.0,5.5,2.8,34.9,0.0,3.96,753.0,44886.0,21.2,86.3,16.9,25.0,83.2,15.4,11.6,37.0,06,025,Imperial
06025010300,1166.0,35.2,50.0,45.9,0.0,25.0,62.3,69.3,206400.0,5.4,6.8,24.6,0.0,4.96,933.0,65048.0,17.2,75.3,20.1,16.1,89.6,16.6,50.4,25.1,06,025,Imperial
06025011000,12986.0,28.8,74.2,16.7,3.9,279.0,48.7,77.7,209300.0,5.7,0.5,27.1,2.2,3.63,1090.0,77380.0,19.4,93.8,6.6,22.7,82.2,21.2,37.9,20.3,06,025,Imperial
06025011100,3516.0,35.5,69.1,23.4,1.3,31.0,51.5,38.9,155800.0,4.9,6.8,41.3,18.6,3.69,814.0,37661.0,17.7,70.5,26.2,35.3,81.9,12.2,35.6,29.9,06,025,Imperial
06025011600,6159.0,37.8,86.3,7.0,2.8,160.0,46.4,54.5,151700.0,4.3,9.1,71.6,3.2,3.25,773.0,39350.0,15.3,78.1,20.4,36.1,77.8,13.1,20.1,42.4,06,025,Imperial
06025012400,885.0,70.0,6.1,87.7,3.7,15.0,54.1,35.1,35900.0,3.6,1.9,23.3,13.8,1.87,433.0,28000.0,21.0,40.5,18.1,40.9,91.6,11.2,91.0,24.1,06,025,Imperial
06025010600,6744.0,36.2,65.1,30.8,0.7,0.0,49.1,66.2,177000.0,5.2,11.4,35.3,4.9,3.41,886.0,66650.0,18.6,81.1,16.9,21.6,88.4,16.6,52.8,16.2,06,025,Imperial
06025010500,6886.0,38.4,77.3,15.0,0.7,282.0,48.9,67.1,183700.0,5.1,0.6,53.4,7.7,3.43,734.0,43281.0,19.0,80.9,25.8,18.4,81.7,11.1,37.2,31.8,06,025,Imperial
06025011202,5637.0,30.1,91.4,5.1,0.3,84.0,46.5,13.5,44800.0,3.9,0.6,73.1,5.1,3.07,680.0,26455.0,17.8,72.9,42.6,23.3,80.8,11.8,10.8,34.3,06,025,Imperial
06025011700,5184.0,33.1,85.6,11.1,0.8,36.0,52.2,76.9,172700.0,5.6,0.0,36.7,5.9,3.9,947.0,46179.0,20.0,85.6,19.3,25.8,80.2,18.2,21.4,32.4,06,025,Imperial
06025011803,6373.0,32.4,79.4,10.2,4.3,392.0,54.5,71.4,252800.0,6.1,0.0,21.3,8.0,4.09,1587.0,109299.0,21.9,87.2,10.1,15.4,94.6,30.8,28.6,29.4,06,025,Imperial
06025012302,6173.0,32.1,68.8,27.5,2.9,0.0,53.5,70.7,89400.0,5.0,0.6,36.1,3.9,4.48,857.0,31593.0,31.0,75.9,35.2,14.7,89.1,9.4,41.7,22.8,06,025,Imperial
06025011400,4568.0,30.6,91.9,2.6,4.2,1.0,48.9,72.4,113000.0,4.7,0.3,52.2,3.1,3.8,670.0,29806.0,24.5,75.0,36.8,18.5,88.6,4.7,10.2,32.5,06,025,Imperial
06025012301,4956.0,33.9,65.5,14.8,15.8,82.0,88.1,79.2,113500.0,4.7,0.7,26.8,0.0,4.32,980.0,47708.0,49.6,80.2,14.9,10.9,93.0,4.2,41.6,14.7,06,025,Imperial
06025010800,1526.0,47.6,46.1,37.9,4.2,0.0,53.4,77.8,248700.0,6.0,9.8,25.5,0.0,2.81,743.0,68088.0,18.2,77.7,7.3,22.0,94.4,19.0,59.9,22.0,06,025,Imperial
06025011802,5509.0,33.4,81.0,17.1,0.3,47.0,48.9,49.8,175400.0,4.8,2.1,58.0,1.9,3.22,892.0,47818.0,16.2,88.4,22.6,20.3,88.0,17.1,24.4,23.1,06,025,Imperial
06025011801,3968.0,35.2,72.2,24.1,1.3,93.0,49.3,99.5,250500.0,6.9,0.8,9.4,0.0,4.87,1369.0,94615.0,16.7,88.5,2.1,32.8,91.6,36.1,39.4,19.5,06,025,Imperial
06025011900,10874.0,32.7,97.0,2.3,0.5,0.0,45.8,77.6,198100.0,5.4,1.1,37.6,0.0,3.63,791.0,45304.0,25.2,81.4,20.8,19.6,89.0,12.2,6.4,44.2,06,025,Imperial
